title,developer,publisher,release_date,mode,box_art_url
Kinetic Void,Badland Studio,Badland Studio,No data,Singleplayer,https://upload.wikimedia.org/wikipedia/en/thumb/e/eb/Kinetic_Void_steam_logo.png/250px-Kinetic_Void_steam_logo.png
Valiant Hearts: The Great War,Ubisoft Montpellier,Ubisoft,06/24/14,Single-player,https://upload.wikimedia.org/wikipedia/en/thumb/0/03/Valiant_Hearts_art.png/256px-Valiant_Hearts_art.png
Transformers: Rise of the Dark Spark,"Edge of Reality
WayForward Technologies ",Activision,06/24/14,"Single-player, multiplayer",https://upload.wikimedia.org/wikipedia/en/thumb/e/ec/Transfromersgame.png/250px-Transfromersgame.png
Wasteland 2,inXile Entertainment,inXile Entertainment,09/19/14,Single-player,https://upload.wikimedia.org/wikipedia/en/thumb/7/7e/Wasteland2art.jpg/240px-Wasteland2art.jpg
Duke Nukem: Manhattan Project,"Sunstorm Interactive 
3D Realms ","NA Arush Entertainment
EU Ubisoft

Apogee Software 
Microsoft Game Studios 
Steam ",05/14/02,Single-player,https://upload.wikimedia.org/wikipedia/en/7/79/Duke_Nukem_-_Manhattan_Project_Coverart.png
Fable,"Big Blue Box 
Lionhead Studios 
Robosoft Technologies ","Microsoft Game Studios
Feral Interactive ",09/14/04,Single player,https://upload.wikimedia.org/wikipedia/en/5/5b/Fablebox.jpg
Kingdom Hearts HD 2.5 Remix,Square Enix 1st Production Department,Square Enix,10/02/14,Single-player,https://upload.wikimedia.org/wikipedia/en/thumb/1/19/KH_HD_2.5_ReMIX_NA_Boxart.jpg/256px-KH_HD_2.5_ReMIX_NA_Boxart.jpg
Broken Sword 5: The Serpent's Curse,Revolution Software,Revolution Software,12/04/13,Single-player,https://upload.wikimedia.org/wikipedia/en/thumb/8/8c/Broken_SwordThe_Serpent%27s_Lair_promotional_artwork.png/256px-Broken_SwordThe_Serpent%27s_Lair_promotional_artwork.png
Guild01,"Level-5
Grasshopper Manufacture 
Vivarium Inc. 
Nex Entertainment ",Level-5,05/31/12,No data,https://upload.wikimedia.org/wikipedia/en/thumb/2/21/Guild01_Logo.png/200px-Guild01_Logo.png
Guild02,"Level-5
Grasshopper Manufacture 
Vivarium Inc. 
Nex Entertainment ",Level-5,05/31/12,No data,https://upload.wikimedia.org/wikipedia/en/thumb/2/21/Guild01_Logo.png/200px-Guild01_Logo.png
Hunt: Horrors of the Gilded Age,Crytek Frankfurt,Crytek,No data,"Single-player, multiplayer",https://upload.wikimedia.org/wikipedia/en/thumb/f/fd/Hunt_Horrors_of_the_Gilded_Age_trailer_beta_logo.jpg/220px-Hunt_Horrors_of_the_Gilded_Age_trailer_beta_logo.jpg
Football Manager 2015,Sports Interactive,Sega,No data,No data,https://upload.wikimedia.org/wikipedia/en/thumb/0/0c/Football_Manager_2015_from_Sega.jpg/220px-Football_Manager_2015_from_Sega.jpg
Gauntlet,Arrowhead Game Studios,Warner Bros. Interactive Entertainment,09/23/14,"Single-player, multiplayer",https://upload.wikimedia.org/wikipedia/en/thumb/b/be/Gauntlet2014Logo.png/220px-Gauntlet2014Logo.png
TowerFall,Matt Thorson,No data,06/25/13,"Single-player, multiplayer",https://upload.wikimedia.org/wikipedia/en/thumb/e/e5/TowerFall_logo.png/220px-TowerFall_logo.png
The Banner Saga,Stoic,No data,02/25/13,Single-player and multiplayer,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/TBS_logo_transparent.png/220px-TBS_logo_transparent.png
This War of Mine,11 bit studios,11 bit studios,No data,No data,No URL Found
Drakengard 3,Access Games,Square Enix,12/19/13,Single-player,https://upload.wikimedia.org/wikipedia/en/thumb/8/8a/Drakengard_3_boxart.png/250px-Drakengard_3_boxart.png
Sid Meier's Civilization V,Firaxis Games,2K Games & Aspyr,09/21/10,"Single-player, multiplayer",https://upload.wikimedia.org/wikipedia/en/5/5c/CIVILIZATION-V-FRONT-OF-BOX.jpg
Borderlands: The Pre-Sequel!,"2K Australia
Gearbox Software",2K Games,10/14/14,"Single-player, multiplayer, co-op",https://upload.wikimedia.org/wikipedia/en/thumb/6/62/Borderlands_The_Pre-Sequel_box_art.jpg/256px-Borderlands_The_Pre-Sequel_box_art.jpg
NASCAR 14,Eutechnyx,Deep Silver,02/18/14,"Single player, multiplayer",https://upload.wikimedia.org/wikipedia/en/thumb/1/1f/NASCAR_14.jpg/250px-NASCAR_14.jpg
Sword Art Online: Hollow Fragment,Bandai Namco Games,Bandai Namco Games,04/23/14,"Single-player, Multiplayer",https://upload.wikimedia.org/wikipedia/en/thumb/e/e4/Sword_Art_Online_Hollow_Fragment_Cover_Art.jpg/250px-Sword_Art_Online_Hollow_Fragment_Cover_Art.jpg
F1 2014,Codemasters Birmingham,Codemasters,10/01/14,"Microsoft Windows
PlayStation 3
Xbox 360",https://upload.wikimedia.org/wikipedia/en/thumb/f/fa/F1_2014_cover.jpg/200px-F1_2014_cover.jpg
Daylight,Zombie Studios,Atlus,04/29/14,Single-player,https://upload.wikimedia.org/wikipedia/en/thumb/e/e9/Daylight_Logo.jpg/300px-Daylight_Logo.jpg
