title,developer,publisher,release_date,mode
title,developer,publisher,release_date,mode
Kinetic Void,Badland Studio,Badland Studio,No data,Singleplayer
Valiant Hearts: The Great War,Ubisoft Montpellier,Ubisoft,No data,Single-player
Transformers: Rise of the Dark Spark,"Edge of Reality
WayForward Technologies (Nintendo 3DS)",Activision,No data,"Single-player, multiplayer"
Wasteland 2,inXile Entertainment,inXile Entertainment,No data,Single-player
Duke Nukem: Manhattan Project,"Sunstorm Interactive (Microsoft Windows)
3D Realms (Xbox Live Arcade)","NA Arush Entertainment
EU Ubisoft

Apogee Software (GOG.com)
Microsoft Game Studios (Xbox Live Arcade) Interceptor Entertainment (Steam platform/Greenman Gaming/Desura)
Steam [1]",No data,Single-player
Fable,"Big Blue Box (Original)
Lionhead Studios (Lost Chapters/Anniversary)
Robosoft Technologies (Mac OS X)","Microsoft Game Studios
Feral Interactive (Mac OS X)",No data,Single player
Kingdom Hearts HD 2.5 Remix,Square Enix 1st Production Department[1],Square Enix,No data,Single-player
Broken Sword 5: The Serpent's Curse,Revolution Software,Revolution Software,No data,Single-player
Guild01,"Level-5
Grasshopper Manufacture (Liberation Maiden)
Vivarium Inc. (Aero Porter)
Nex Entertainment (Weapon Shop de Omasse, Crimson Shroud)[8]",Level-5,No data,No data
Guild02,"Level-5
Grasshopper Manufacture (Liberation Maiden)
Vivarium Inc. (Aero Porter)
Nex Entertainment (Weapon Shop de Omasse, Crimson Shroud)[8]",Level-5,No data,No data
Hunt: Horrors of the Gilded Age,Crytek Frankfurt,Crytek,No data,"Single-player, multiplayer"
Football Manager 2015,Sports Interactive,Sega,No data,No data
Gauntlet,Arrowhead Game Studios,Warner Bros. Interactive Entertainment,No data,"Single-player, multiplayer"
TowerFall,Matt Thorson,No data,No data,"Single-player, multiplayer"
The Banner Saga,Stoic,No data,No data,Single-player and multiplayer
This War of Mine,11 bit studios,11 bit studios,No data,No data
Drakengard 3,Access Games[1],Square Enix,No data,Single-player
Sid Meier's Civilization V,Firaxis Games,2K Games & Aspyr,No data,"Single-player, multiplayer"
Borderlands: The Pre-Sequel!,"2K Australia
Gearbox Software",2K Games,No data,"Single-player, multiplayer, co-op"
NASCAR 14,Eutechnyx,Deep Silver,No data,"Single player, multiplayer"
Sword Art Online: Hollow Fragment,Bandai Namco Games,Bandai Namco Games,No data,"Single-player, Multiplayer"
F1 2014,Codemasters Birmingham,Codemasters,No data,"Microsoft Windows
PlayStation 3
Xbox 360"
Daylight,Zombie Studios,Atlus[1],No data,Single-player
Killer Is Dead,Grasshopper Manufacture,"JP Kadokawa Shoten
NA Xseed Games
PAL Deep Silver",No data,Single-player
Exogenesis: Perils of Rebirth,Kwan,Kwan,No data,Single-player
Awesomenauts,"Ronimo Games
Abstraction Games (PS4)[1]",dtp Entertainment,No data,"Single-player, multiplayer"
ArcheAge,XL Games,"Tencent Games (China)
Trion Worlds (NA, Europe, Australia, NZ)
Mail.ru (Russia)",No data,Multiplayer
Final Fantasy IV,"Square Enix
Matrix Software",Square Enix,No data,"Single-player, multiplayer"
Captain Toad: Treasure Tracker,Nintendo EAD Tokyo,Nintendo,No data,Single-player
FTL: Faster Than Light,Subset Games,No data,No data,Single-player
Banished,Shining Rock Software,No data,No data,Single-player
Runemaster,Paradox Development Studio,Paradox Interactive,No data,Single player
Race the Sun,Flippfly,No data,No data,Single-player
Armikrog,Pencil Test Studios,Pencil Test Studios,No data,Single-player
The Room,Fireproof Games,Fireproof Studios,No data,Single-player
Devil's Third,"Valhalla Game Studios
Nintendo SPD",Nintendo,No data,"Single-player, multiplayer"
Divekick,"One True Game Studios
Iron Galaxy Studios","Iron Galaxy Studios
Square-Enix (Japan)[1]",No data,"Single-player, multiplayer"
Ori and the Blind Forest,Moon Studios,Microsoft Studios,No data,Single-player
BioShock Infinite,Irrational Games[a],2K Games,No data,Single-player
Lego Ninjago: Nindroids,"Hellbent Games
Traveller's Tales","TT Games
Warner Bros. Interactive Entertainment
The Lego Group",No data,Single-player
The Amazing Spider-Man 2,"Beenox
High Voltage Software (3DS)
Gameloft (iOS, Android)",Activision,No data,Single-player
Worms Battlegrounds,Team17,Team17,No data,"Single-player, Multiplayer"
Lone Survivor,Superflat Games,"Superflat Games
Curve Studios (Director's Cut)",No data,Single-player
Rocksmith 2014,Ubisoft San Francisco [1],Ubisoft,No data,No data
Scivelation,Black Wing Foundation,TopWare Interactive,No data,Single-player
Tomb Raider,"Crystal Dynamics

Additional work by:

Eidos Montreal (multiplayer)
Nixxes Software BV (PC, PS4)[1]
United Front Games (XB1)[1]
Feral Interactive (OS X)[2]","Square Enix
Feral Interactive (OS X)",No data,"Single-player, multiplayer"
Disney Infinity: Marvel Super Heroes,"Avalanche Software

Additional work by:

Studio Gobo[1] (Guardians of the Galaxy Playset)
Ninja Theory[2][3][4]","Disney Interactive Studios
Bandai Namco Games (Japan)
Microsoft Studios (Windows, Xbox 360, Xbox One)",No data,"Single-player, multiplayer2"
Borderlands 2,"Gearbox Software
Aspyr Media (OS X, Linux)
Iron Galaxy Studios (PlayStation Vita)",2K Games,No data,"Single-player, multiplayer, co-op"
Swords & Soldiers,"Ronimo Games (PC, Mac, Wii, PS3)
Two Tribes (Wii U, iOS)","Ronimo Games (PC, Mac, Wii, PS3)
Chillingo (iOS)",No data,"Single-player, multiplayer"
Spelunky,"Derek Yu
Andy Hull
Blitworks (PS3, PS Vita, PS4[1])",Mossmouth,No data,"Single-player, local co-op (enhanced version only)"
The Witcher 2: Assassins of Kings,CD Projekt RED,"POL cdp.pl
NA Atari, Inc
PAL Bandai Namco Games
JP CyberFront
Enhanced Edition
NA WB Games[1]
PAL Bandai Namco Games[2]
JP CyberFront (PC)
JP Spike Chunsoft (X360)",No data,Single-player
Hotline Miami 2: Wrong Number,Dennaton Games,Devolver Digital,No data,Single-player
Tony Hawk's Pro Skater,"Neversoft (PS1)
Edge of Reality (N64)
Natsume (GBC)
Treyarch (DC)
IdeaWorks3D (NGE)","Activision (PS1, N64 & GBC)
Crave Entertainment (DC)
Nokia (NGE)",No data,"Single-player, multiplayer"
Final Fantasy VI,"Square (SNES)
Tose (PS & GBA)","SNES
Square
PlayStation

JP Square
NA Square Electronic Arts
EU Sony Computer Entertainment

Game Boy Advance

JP Square Enix
NA Nintendo
EU Nintendo",No data,"Single-player, multiplayer"
Final Fantasy VI,"Square (SNES)
Tose (PS & GBA)","SNES
Square
PlayStation

JP Square
NA Square Electronic Arts
EU Sony Computer Entertainment

Game Boy Advance

JP Square Enix
NA Nintendo
EU Nintendo",No data,"Single-player, multiplayer"
Demon Gaze,"Kadokawa Games
Experience Inc.","JP Kadokawa Games
EU / NA NIS America[1][2]",No data,No data
Stronghold Crusader II,Firefly Studios,Firefly Studios,No data,"Single-player, multiplayer"
Dynasty Warriors 8,Omega Force,Tecmo Koei,No data,"Single-player, Multiplayer, co-op"
Rayman Legends,Ubisoft Montpellier,Ubisoft,No data,"Single-player, co-op"
Akiba's Trip: Undead & Undressed,Acquire,"JP Acquire
NA Xseed Games
EU NIS America",No data,Single-player
